id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_produksi,satuan,tahun
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,50,TON,2019
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,51,TON,2019
140,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2019
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,136,TON,2019
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,117,TON,2019
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,233,TON,2019
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,59,TON,2019
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2019
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,32,TON,2019
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,28,TON,2019
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,TON,2019
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2019
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3,TON,2019
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2019
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,18,TON,2019
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,23,TON,2019
154,32,JAWA BARAT,3271,KOTA BOGOR,2,TON,2019
155,32,JAWA BARAT,3272,KOTA SUKABUMI,78,TON,2019
156,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2019
157,32,JAWA BARAT,3274,KOTA CIREBON,7,TON,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,413,TON,2019
159,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2019
160,32,JAWA BARAT,3277,KOTA CIMAHI,2,TON,2019
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,51,TON,2019
162,32,JAWA BARAT,3279,KOTA BANJAR,24,TON,2019
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,142,TON,2020
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,301,TON,2020
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,52,TON,2020
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,55,TON,2020
167,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2020
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,139,TON,2020
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,108,TON,2020
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,251,TON,2020
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,50,TON,2020
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2020
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,17,TON,2020
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,29,TON,2020
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,18,TON,2020
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2020
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3,TON,2020
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2020
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,21,TON,2020
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,27,TON,2020
181,32,JAWA BARAT,3271,KOTA BOGOR,2,TON,2020
182,32,JAWA BARAT,3272,KOTA SUKABUMI,87,TON,2020
183,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2020
184,32,JAWA BARAT,3274,KOTA CIREBON,7,TON,2020
185,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2020
186,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2020
187,32,JAWA BARAT,3277,KOTA CIMAHI,1,TON,2020
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,51,TON,2020
189,32,JAWA BARAT,3279,KOTA BANJAR,24,TON,2020
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,108,TON,2021
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,440,TON,2021
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,54,TON,2021
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,57,TON,2021
194,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2021
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,222,TON,2021
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,108,TON,2021
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,223,TON,2021
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,62,TON,2021
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2021
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,21,TON,2021
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,28,TON,2021
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,23,TON,2021
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2021
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3,TON,2021
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2021
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,20,TON,2021
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,20,TON,2021
208,32,JAWA BARAT,3271,KOTA BOGOR,2,TON,2021
209,32,JAWA BARAT,3272,KOTA SUKABUMI,66,TON,2021
210,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2021
211,32,JAWA BARAT,3274,KOTA CIREBON,5,TON,2021
212,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2021
213,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2021
214,32,JAWA BARAT,3277,KOTA CIMAHI,1,TON,2021
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,51,TON,2021
216,32,JAWA BARAT,3279,KOTA BANJAR,23,TON,2021
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,130,TON,2022
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,145,TON,2022
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,54,TON,2022
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,63,TON,2022
221,32,JAWA BARAT,3205,KABUPATEN GARUT,0,TON,2022
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,62,TON,2022
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,109,TON,2022
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,226,TON,2022
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,73,TON,2022
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,TON,2022
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,54,TON,2022
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,26,TON,2022
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,TON,2022
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,TON,2022
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15,TON,2022
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,TON,2022
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,21,TON,2022
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,20,TON,2022
235,32,JAWA BARAT,3271,KOTA BOGOR,2,TON,2022
236,32,JAWA BARAT,3272,KOTA SUKABUMI,31,TON,2022
237,32,JAWA BARAT,3273,KOTA BANDUNG,0,TON,2022
238,32,JAWA BARAT,3274,KOTA CIREBON,5,TON,2022
239,32,JAWA BARAT,3275,KOTA BEKASI,0,TON,2022
240,32,JAWA BARAT,3276,KOTA DEPOK,0,TON,2022
241,32,JAWA BARAT,3277,KOTA CIMAHI,1,TON,2022
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,57,TON,2022
243,32,JAWA BARAT,3279,KOTA BANJAR,23,TON,2022
